id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-1129580,2023-10-27,000001,Vente,21000,1541,,AV JOSEPH LOUIS ORTOLAN,4035,83100,83137,Toulon,83,,,83137000AH0342,,,104,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.963667,43.133989
2023-1129581,2023-11-09,000001,Vente,127960,18,,RUE AUGUSTIN DAUMAS,0525,83000,83137,Toulon,83,,,83137000CM0001,,,19,66.67,,,,,,,,,1,2,Appartement,64,3,,,,,,5.932782,43.121595
2023-1129582,2023-10-27,000001,Vente,133000,20,,BD DE PARIS,5565,83200,83137,Toulon,83,,,83137000CX0011,,,54,,72,,,,,,,,2,2,Appartement,62,4,,,,,,5.911328,43.131483
2023-1129582,2023-10-27,000001,Vente,133000,20,,BD DE PARIS,5565,83200,83137,Toulon,83,,,83137000CX0011,,,54,,72,,,,,,,,2,3,Dépendance,,0,,,,,,5.911328,43.131483
2023-1129582,2023-10-27,000001,Vente,133000,20,,BD DE PARIS,5565,83200,83137,Toulon,83,,,83137000CX0011,,,54,,72,,,,,,,,2,3,Dépendance,,0,,,,,,5.911328,43.131483
2023-1129583,2023-11-13,000001,Vente,26000,30,,RUE THIERS,6930,83200,83137,Toulon,83,,,83137000CY0616,,,100,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.916976,43.131164
2023-1129584,2023-10-30,000001,Vente,275000,140,,RUE DE TURENNE,7020,83100,83137,Toulon,83,,,83137000BE0037,,,246,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.960557,43.126306
2023-1129584,2023-10-30,000001,Vente,275000,27,,RUE DE CRILLON,1985,83100,83137,Toulon,83,,,83137000BE0037,,,183,,184,,,,,,,,2,3,Dépendance,,0,,,,,,5.960557,43.126306
2023-1129584,2023-10-30,000001,Vente,275000,27,,RUE DE CRILLON,1985,83100,83137,Toulon,83,,,83137000BE0037,,,183,,184,,,,,,,,2,2,Appartement,157,6,,,,,,5.960557,43.126306
2023-1129587,2023-11-14,000001,Vente en l'état futur d'achèvement,20000,21,B,BD BAZEILLES,0710,83000,83137,Toulon,83,,,83137000BV0641,,,19,,,,,,,,,,1,,,,,,,,,,5.937011,43.111811
2023-1129587,2023-11-14,000001,Vente en l'état futur d'achèvement,20000,21,B,BD BAZEILLES,0710,83000,83137,Toulon,83,,,83137000BV0641,,,10,,,,,,,,,,1,,,,,,,,,,5.937011,43.111811
2023-1129587,2023-11-14,000001,Vente en l'état futur d'achèvement,20000,21,B,BD BAZEILLES,0710,83000,83137,Toulon,83,,,83137000BV0641,,,14,,,,,,,,,,1,,,,,,,,,,5.937011,43.111811
2023-1129587,2023-11-14,000001,Vente en l'état futur d'achèvement,20000,21,B,BD BAZEILLES,0710,83000,83137,Toulon,83,,,83137000BV0641,,,11,,,,,,,,,,1,,,,,,,,,,5.937011,43.111811
2023-1129587,2023-11-14,000001,Vente en l'état futur d'achèvement,20000,21,B,BD BAZEILLES,0710,83000,83137,Toulon,83,,,83137000BV0641,,,18,,,,,,,,,,1,,,,,,,,,,5.937011,43.111811
2023-1129587,2023-11-14,000001,Vente en l'état futur d'achèvement,20000,21,B,BD BAZEILLES,0710,83000,83137,Toulon,83,,,83137000BV0641,,,17,,,,,,,,,,1,,,,,,,,,,5.937011,43.111811
2023-1129587,2023-11-14,000001,Vente en l'état futur d'achèvement,20000,21,B,BD BAZEILLES,0710,83000,83137,Toulon,83,,,83137000BV0641,,,13,,,,,,,,,,1,,,,,,,,,,5.937011,43.111811
2023-1129587,2023-11-14,000001,Vente en l'état futur d'achèvement,20000,21,B,BD BAZEILLES,0710,83000,83137,Toulon,83,,,83137000BV0641,,,16,,,,,,,,,,1,,,,,,,,,,5.937011,43.111811
2023-1129587,2023-11-14,000001,Vente en l'état futur d'achèvement,20000,21,B,BD BAZEILLES,0710,83000,83137,Toulon,83,,,83137000BV0641,,,12,,,,,,,,,,1,,,,,,,,,,5.937011,43.111811
2023-1129587,2023-11-14,000001,Vente en l'état futur d'achèvement,20000,21,B,BD BAZEILLES,0710,83000,83137,Toulon,83,,,83137000BV0641,,,15,,,,,,,,,,1,,,,,,,,,,5.937011,43.111811
2023-1129587,2023-11-14,000001,Vente en l'état futur d'achèvement,20000,21,B,BD BAZEILLES,0710,83000,83137,Toulon,83,,,83137000BV0641,,,9,,,,,,,,,,1,,,,,,,,,,5.937011,43.111811
2023-1129587,2023-11-14,000001,Vente en l'état futur d'achèvement,20000,295,,BD BAZEILLES,0710,83000,83137,Toulon,83,,,83137000BV0641,,,8,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.937011,43.111811
